"","lykke","utdanning","skala10"
"501",10,10,3
"502",7,10,4
"503",8,5,4
"504",7,8,9
"505",8,12,4
"506",8,3,8
"507",8,10,4
"508",8,9,4
"509",7,3,NA
"510",8,5,8
"511",8,6,10
"512",9,6,10
"513",9,8,10
"514",8,3,10
"515",7,5,8
"516",8,3,10
"517",8,9,2
"518",9,5,9
"519",9,2,10
"520",10,2,NA
"521",7,3,10
"522",8,13,4
"523",7,6,10
"524",8,2,9
"525",5,4,10
"526",10,13,4
"527",7,3,4
"528",6,6,10
"529",8,NA,NA
"530",8,10,3
"531",5,8,5
"532",8,5,NA
"533",7,13,4
"534",8,5,10
"535",9,3,10
"536",9,3,8
"537",9,10,2
"538",5,3,8
"539",10,11,5
"540",10,6,2
"541",10,3,9
"542",9,3,1
"543",8,8,10
"544",9,9,9
"545",8,10,10
"546",10,8,1
"547",8,6,9
"548",9,9,10
"549",10,2,10
"550",8,12,3
"551",8,6,9
"552",8,13,9
"553",9,5,2
"554",7,6,10
"555",9,13,3
"556",8,5,8
"557",10,3,10
"558",8,6,1
"559",7,NA,9
"560",8,6,6
"561",9,10,4
"562",8,10,9
"563",10,3,NA
"564",9,9,4
"565",8,3,9
"566",10,7,9
"567",9,12,5
"568",7,13,4
"569",7,10,NA
"570",7,12,4
"571",10,12,3
"572",10,13,9
"573",9,3,10
"574",8,6,9
"575",8,6,2
"576",9,5,10
"577",10,3,10
"578",6,9,9
"579",10,3,10
"580",7,7,1
"581",5,5,9
"582",8,11,10
"583",10,10,3
"584",9,10,4
"585",9,5,8
"586",8,10,10
"587",9,6,10
"588",9,5,9
"589",3,3,10
"590",8,10,3
"591",9,6,2
"592",7,9,9
"593",10,6,10
"594",4,11,4
"595",9,1,9
"596",9,6,10
"597",8,6,9
"598",8,5,7
"599",8,10,3
"600",2,3,9
"601",10,9,10
"602",8,10,6
"603",8,8,5
"604",9,6,10
"605",7,12,4
"606",8,12,4
"607",5,3,9
"608",10,9,1
"609",10,11,5
"610",8,6,10
"611",10,12,2
"612",7,5,9
"613",10,3,7
"614",7,5,10
"615",10,3,9
"616",10,3,4
"617",8,11,3
"618",6,6,6
"619",6,10,9
"620",5,6,10
"621",8,10,4
"622",8,6,3
"623",9,5,6
"624",9,10,2
"625",8,13,3
"626",10,12,4
"627",10,3,10
"628",9,12,3
"629",9,5,9
"630",9,3,9
"631",7,10,4
"632",8,5,2
"633",5,3,NA
"634",7,8,5
"635",7,5,NA
"636",10,5,3
"637",10,10,10
"638",3,6,5
"639",7,13,4
"640",8,3,9
"641",8,8,2
"642",7,13,3
"643",10,3,9
"644",9,5,1
"645",5,5,9
"646",9,10,2
"647",7,6,9
"648",10,3,NA
"649",9,2,NA
"650",8,9,9
"651",9,8,10
"652",5,3,NA
"653",9,10,2
"654",7,5,10
"655",7,5,2
"656",9,8,6
"657",10,6,9
"658",6,12,4
"659",9,10,9
"660",6,5,10
"661",7,9,6
"662",8,6,9
"663",6,6,4
"664",9,12,2
"665",6,6,10
"666",10,9,4
"667",7,13,5
"668",8,13,5
"669",9,9,4
"670",9,12,2
"671",7,9,4
"672",7,5,9
"673",8,9,9
"674",8,3,9
"675",10,5,10
"676",9,6,9
"677",9,13,2
"678",8,10,4
"679",9,3,6
"680",6,11,9
"681",8,10,4
"682",10,12,4
"683",8,10,4
"684",9,12,4
"685",10,10,9
"686",7,10,3
"687",10,3,10
"688",7,9,5
"689",8,3,NA
"690",7,13,3
"691",3,5,9
"692",8,10,2
"693",7,11,9
"694",9,10,4
"695",8,5,9
"696",8,5,6
"697",7,6,5
"698",9,10,9
"699",8,5,10
"700",9,6,4
"701",7,13,4
"702",7,10,5
"703",9,10,6
"704",1,10,10
"705",7,9,1
"706",9,5,10
"707",10,10,9
"708",10,6,10
"709",8,6,6
"710",9,10,9
"711",7,12,4
"712",9,6,5
"713",10,10,5
"714",7,10,4
"715",7,9,5
"716",10,12,5
"717",9,13,4
"718",8,10,4
"719",8,9,10
"720",9,11,6
"721",9,10,4
"722",7,3,8
"723",8,3,9
"724",9,3,10
"725",8,6,10
"726",7,3,10
"727",7,6,9
"728",9,10,3
"729",10,6,10
"730",8,10,2
"731",10,3,6
"732",8,10,3
"733",8,6,10
"734",6,9,4
"735",4,13,6
"736",5,6,10
"737",9,6,9
"738",9,6,10
"739",9,5,9
"740",9,6,9
"741",8,13,4
"742",9,11,9
"743",4,5,8
"744",8,10,4
"745",9,3,9
"746",9,3,10
"747",8,6,10
