"","X","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged"
"114",500,"HND",4,1.029892,1.433085,0.9950003,1533,0.16,0,0,0,3.393229,23.29611
"115",501,"HND",5,-1.690969,3.3021309,0.5840453,1439,0.16,0.25,0,0,3.393229,23.168261
"116",502,"HND",6,0.7361481,3.223475,0.9271817,1381,0.16,0.25,0,0,3.393229,26.925541
"117",503,"HND",7,0.685772,3.3950009,2.6119871,1377,0.16,3.25,0,0,3.393229,29.84313
"118",514,"HTI",2,0.8736246,0.479089,1.150183,834,0.01,0,0,0,2.578646,10.19755
"119",515,"HTI",3,1.425254,1.430759,1.029469,883,0.01,0.25,0,0,2.578646,14.24904
"120",516,"HTI",4,2.34396,1.636374,0.8614917,943,0.01,0,0,0,2.578646,22.536421
"121",517,"HTI",5,-2.3858969,2.282593,0.871056,933,0.01,0,0,0,2.578646,28.783131
"122",518,"HTI",6,-1.772912,3.0255699,1.151348,902,0.01,0.25,0,0,2.578646,30.790279
"123",519,"HTI",7,-7.490983,2.2884209,0.7622148,NA,0.01,1.75,0,0,2.578646,35.98473
"124",530,"IDN",2,4.573699,0.7943888,3.092134,715,0.76,0,0,1,3.666667,7.235307
"125",531,"IDN",3,4.9217539,0.4667856,2.962908,892,0.76,0,0,1,3.666667,12.79889
"126",532,"IDN",4,5.8263001,0.2930794,3.091598,1124,0.76,0,0,1,3.666667,15.6983
"127",533,"IDN",5,3.2271061,0.2482695,3.245913,1487,0.76,0,0,1,3.666667,16.67067
"128",534,"IDN",6,4.76686,0.2605772,3.1779821,1687,0.76,0,0,1,3.666667,20.11838
"129",535,"IDN",7,6.1029401,0.2898518,3.336103,1974,0.76,0,0,1,3.666667,29.667431
"130",546,"IND",2,0.0997274,0.3459758,0.9405624,802,0.89,0.5,0,0,5.760417,21.63537
"131",547,"IND",3,2.5127439,0.3692294,0.9038061,765,0.89,0.5,0,0,5.760417,25.262461
"132",548,"IND",4,1.1642129,0.2875184,0.7846346,882,0.89,0.25,0,0,5.760417,28.309059
"133",549,"IND",5,2.9019239,0.2314055,0.677059,936,0.89,2.75,0,0,5.760417,37.10878
"134",550,"IND",6,4.2667198,0.171018,0.5907155,1092,0.89,1,0,0,5.760417,40.73555
"135",551,"IND",7,1.459209,0.1506343,0.67939,1264,0.89,1.25,0,0,5.760417,45.98037
"136",570,"JAM",2,4.5908251,0.5035225,NA,2645,0.05,0,0,0,4.696875,30.579981
"137",571,"JAM",3,-4.376965,0.3799198,0.1285729,2922,0.05,0.75,0,0,4.696875,34.846779
"138",572,"JAM",4,-2.2398601,1.529616,0.0079704,2601,0.05,0.25,0,0,4.696875,33.027699
"139",573,"JAM",5,-2.157485,2.3378971,0.2041072,2389,0.05,0,0,0,4.696875,35.833019
"140",574,"JAM",6,3.962513,2.3136151,NA,2218,0.05,0,0,0,4.696875,47.32423
"141",575,"JAM",7,3.056572,1.852656,NA,2545,0.05,0,0,0,4.696875,47.513248
"142",594,"KEN",2,5.98915,1.9004,0.9020833,586,0.83,0,1,0,5.5625,24.321131
"143",595,"KEN",3,0.338278,1.623956,0.781967,847,0.83,0.25,1,0,5.5625,30.37916
"144",596,"KEN",4,1.972854,2.2183521,0.7471299,898,0.83,0,1,0,5.5625,29.985189
"145",597,"KEN",5,-1.447291,2.376631,0.693974,860,0.83,0,1,0,5.5625,32.627171
"146",598,"KEN",6,2.623127,2.927494,0.7903143,857,0.83,0,1,0,5.5625,28.39455
"147",599,"KEN",7,-1.473197,2.9801171,1.302858,911,0.83,0.25,1,0,5.5625,29.293381
"148",634,"KOR",2,7.8028722,0.7310022,3.197093,1680,0,0,0,1,6.360938,23.85638
"149",635,"KOR",3,8.0327559,0.2045349,3.071913,2236,0,0.25,0,1,6.360938,34.114792
"150",636,"KOR",4,4.5225258,0.114563,3.0281651,3083,0,0.25,0,1,6.360938,31.452749
"151",637,"KOR",5,6.6518879,0.072884,3.2737629,3395,0,0,0,1,6.360938,32.52034
"152",638,"KOR",6,8.7896233,0.0306532,3.405859,4622,0,0,0,1,6.360938,35.166309
"153",639,"KOR",7,6.117754,0.0530342,3.3004129,6673,0,0,0,1,6.360938,36.83289
"154",690,"LKA",2,1.193782,0.6860721,0.7218894,1243,0.47,0,0,0,4.325521,26.318701
"155",691,"LKA",3,2.936934,0.9759074,0.8198988,1297,0.47,0,0,0,4.325521,24.033701
"156",692,"LKA",4,3.9235699,1.340456,2.277447,1497,0.47,0,0,0,4.325521,20.622801
"157",693,"LKA",5,3.742027,1.344761,0.9863998,1792,0.47,0.5,0,0,4.325521,30.206881
"158",694,"LKA",6,1.189846,1.342893,0.4660164,2048,0.47,1,0,0,4.325521,31.12565
"159",695,"LKA",7,4.1670661,1.321839,2.2180929,2096,0.47,1.25,0,0,4.325521,30.5156
"160",730,"MAR",2,1.472746,1.043366,1.027375,1342,0.53,0.25,0,0,4.303125,31.536261
"161",731,"MAR",3,4.3808799,0.8701968,0.3348713,1433,0.53,0,0,0,4.303125,33.310299
"162",732,"MAR",4,1.021592,1.143406,0.4047443,1819,0.53,0,0,0,4.303125,39.066319
"163",733,"MAR",5,2.3321049,1.009147,1.67723,1954,0.53,0,0,0,4.303125,42.802589
"164",734,"MAR",6,2.1315539,0.5546178,3.026258,2104,0.53,0,0,0,4.303125,44.097271
"165",735,"MAR",7,-0.875991,1.024858,3.216192,2151,0.53,0,0,0,4.303125,46.135601
"166",746,"MDG",2,-1.18914,1.887127,1.071853,1146,0.06,0,1,0,4.666667,20.673901
"167",747,"MDG",3,-2.154191,1.774604,1.018873,1014,0.06,0,1,0,4.666667,22.68475
"168",748,"MDG",4,-2.6535611,1.534978,NA,905,0.06,0,1,0,4.666667,22.803169
"169",749,"MDG",5,-2.279206,2.086652,NA,821,0.06,0,1,0,4.666667,25.72056
"170",750,"MDG",6,-0.4948756,3.367147,0.8063396,730,0.06,0,1,0,4.666667,17.67268
"171",751,"MDG",7,-3.1098101,3.7852759,0.8395147,675,0.06,0.25,1,0,4.666667,16.448931
"172",762,"MEX",2,3.7077999,0.0231582,1.018433,3987,0.3,0.25,0,0,5.414063,16.702169
"173",763,"MEX",3,1.840501,0.0125563,0.7844409,4782,0.3,0,0,0,5.414063,16.20595
"174",764,"MEX",4,5.7570438,0.0219669,0.7376471,5208,0.3,0.25,0,0,5.414063,19.175591
"175",765,"MEX",5,-2.0507231,0.0302771,-0.0625901,5942,0.3,0.25,0,0,5.414063,30.40843
"176",766,"MEX",6,-1.5747679,0.0017184,1.875501,5283,0.3,0.5,0,0,5.414063,28.14155
"177",767,"MEX",7,0.7187295,0.0046769,3.1784539,5827,0.3,0.75,0,0,5.414063,20.907749
"178",786,"MLI",2,0.1616946,4.6520391,NA,419,0.78,0,1,0,3,20.89879
"179",787,"MLI",3,5.6834011,5.8279099,NA,432,0.78,0,1,0,3,18.351299
"180",788,"MLI",4,-0.8450208,5.9985762,NA,511,0.78,0,1,0,3,23.40938
"181",789,"MLI",5,-6.0195298,5.970542,NA,524,0.78,0,1,0,3,21.177521
"182",790,"MLI",6,4.6439161,7.6493731,1.944574,550,0.78,0,1,0,3,20.265949
"183",791,"MLI",7,-1.614059,7.0538211,NA,531,0.78,0,1,0,3,22.697729
"184",842,"MWI",2,3.082958,2.879252,NA,440,0.62,0,1,0,4.471354,15.58105
"185",843,"MWI",3,2.478621,2.7039449,NA,487,0.62,0,1,0,4.471354,18.85474
"186",844,"MWI",4,-1.001543,4.368649,0.3277685,544,0.62,0,1,0,4.471354,22.52606
"187",845,"MWI",5,-0.4771583,3.4780359,0.6187723,495,0.62,0.25,1,0,4.471354,20.39172
"188",846,"MWI",6,-1.818031,6.5561471,0.5391272,502,0.62,0,1,0,4.471354,21.270201
"189",847,"MWI",7,-1.0903569,8.1854677,0.9532723,519,0.62,0,1,0,4.471354,23.02899
"190",850,"MYS",2,5.4419169,0.2587464,2.9462521,2154,0.72,0,0,1,6.9,30.572531
"191",851,"MYS",3,4.444623,0.1753249,2.844219,2791,0.72,0.25,0,1,6.9,37.688251
"192",852,"MYS",4,4.9904332,0.1517872,2.5286281,3239,0.72,0,0,1,6.9,43.58297
"193",853,"MYS",5,2.0842841,0.2229393,2.579,4171,0.72,0,0,1,6.9,50.168159
"194",854,"MYS",6,3.253279,0.2267044,2.9397221,3869,0.72,0,0,1,6.9,59.92445
"195",855,"MYS",7,5.8947368,0.1708999,3.063112,5124,0.72,0,0,1,6.9,70.08712
"196",874,"NER",2,-8.1013336,3.8643229,NA,805,0.73,0,1,0,5.833333,8.375386
"197",875,"NER",3,-0.0521623,5.8960538,0.9584715,702,0.73,0,1,0,5.833333,10.11362
"198",876,"NER",4,2.979125,4.866395,0.8724772,643,0.73,0,1,0,5.833333,12.61603
"199",877,"NER",5,-7.8325691,5.493156,NA,714,0.73,0,1,0,5.833333,14.95434
"200",878,"NER",6,-1.867643,7.778758,NA,570,0.73,0,1,0,5.833333,14.20819
"201",879,"NER",7,-2.752728,7.4496069,NA,NA,0.73,0,1,0,5.833333,19.273581
"202",882,"NGA",2,6.6333809,0.3738668,1.196144,767,0.87,0,1,0,3.084896,16.27459
"203",883,"NGA",3,2.8186109,0.106749,1.172996,1192,0.87,0.25,1,0,3.084896,14.99199
"204",884,"NGA",4,-4.033957,0.0530147,1.664464,1513,0.87,0,1,0,3.084896,20.834499
"205",885,"NGA",5,-2.3922319,0.0485014,0.5176515,1419,0.87,0,1,0,3.084896,25.498581
"206",886,"NGA",6,0.3214651,0.0889788,0.3810838,973,0.87,0,1,0,3.084896,32.74733
"207",887,"NGA",7,1.3122621,0.1545874,0.1669727,995,0.87,0,1,0,3.084896,26.145451
"208",890,"NIC",2,-0.3850995,0.4276597,0.7687464,2359,0.18,0,0,0,2.999479,15.5151
"209",891,"NIC",3,3.5534599,0.5230825,0.7758667,2629,0.18,0,0,0,2.999479,18.717859
"210",892,"NIC",4,-10.2612305,2.072741,0.4130862,2459,0.18,1.25,0,0,2.999479,19.59498
"211",893,"NIC",5,-3.48844,3.119837,-0.7040213,1839,0.18,0,0,0,2.999479,27.320801
"212",922,"PAK",2,2.0835941,0.8170575,0.7095931,1029,0.64,0.5,0,0,4.109375,38.421341
"213",923,"PAK",3,1.49976,1.055366,0.4925169,934,0.64,0.5,0,0,4.109375,47.181721
"214",924,"PAK",4,4.5468669,0.8497334,0.667682,1014,0.64,0.25,0,0,4.109375,36.895889
"215",925,"PAK",5,3.4761939,0.7083635,0.7709815,1129,0.64,0.25,0,0,4.109375,40.945938
"216",926,"PAK",6,3.144556,0.6660512,0.6578589,1280,0.64,0,0,0,4.109375,41.296421
"217",927,"PAK",7,1.982531,0.4932093,0.6353698,1394,0.64,0.75,0,0,4.109375,42.241749
"218",938,"PER",2,1.500508,0.2536955,1.005555,2736,0.59,0,0,0,3.234375,21.374531
"219",939,"PER",3,0.9286919,0.3551153,0.6025754,3138,0.59,0,0,0,3.234375,24.963619
"220",940,"PER",4,1.3649631,0.3383372,0.3921387,2796,0.59,0.25,0,0,3.234375,25.004709
"221",941,"PER",5,-4.2680001,0.4830249,-0.0572213,2977,0.59,0.75,0,0,3.234375,20.788429
"222",942,"PER",6,-3.0535979,0.4023583,-1.4306509,2838,0.59,3.25,0,0,3.234375,23.41573
"223",943,"PER",7,-0.7643446,0.6353229,0.3625337,2188,0.59,2.25,0,0,3.234375,20.19389
"224",946,"PHL",2,2.7988219,0.3990127,1.018815,1403,0.74,1.5,0,1,2.967708,23.94558
"225",947,"PHL",3,3.0909309,0.3022969,1.010471,1587,0.74,0.75,0,1,2.967708,22.690639
"226",948,"PHL",4,2.3345039,0.2555976,0.9724869,1780,0.74,0.25,0,1,2.967708,19.894501
"227",949,"PHL",5,-4.9350739,0.3846004,0.8170419,1915,0.74,2.25,0,1,2.967708,23.766821
"228",950,"PHL",6,2.924233,0.6141661,2.0569351,1535,0.74,3,0,1,2.967708,28.80117
"229",951,"PHL",7,-0.9085332,0.6760107,3.132061,1763,0.74,0,0,1,2.967708,28.72826
"230",994,"PRY",2,3.1396091,0.7461522,1.1593879,1394,0.14,0,0,0,4.396875,15.61434
"231",995,"PRY",3,4.8559918,0.6332555,1.135205,1615,0.14,0,0,0,4.396875,18.76235
"232",996,"PRY",4,7.5062189,0.5339858,1.053259,2057,0.14,0,0,0,4.396875,20.28738
"233",997,"PRY",5,-3.1757741,0.6741998,1.017431,2414,0.14,0,0,0,4.396875,23.131029
"234",998,"PRY",6,0.9001451,0.7420832,1.5513591,1998,0.14,0,0,0,4.396875,21.702761
"235",999,"PRY",7,-0.1097943,0.7861565,3.2179461,2128,0.14,0.25,0,0,4.396875,17.944019
"236",1042,"SEN",2,-0.3642866,3.3599451,1.13579,1146,0.72,0,1,0,4.747396,13.39819
"237",1043,"SEN",3,1.689328,3.2784719,0.9618749,1062,0.72,0,1,0,4.747396,16.34655
"238",1044,"SEN",4,-3.199038,3.8971331,1.134356,1110,0.72,0,1,0,4.747396,23.89983
"239",1045,"SEN",5,1.135197,3.9895461,0.6430827,1203,0.72,0,1,0,4.747396,30.14307
"240",1046,"SEN",6,0.4526881,6.1975522,NA,1155,0.72,0,1,0,4.747396,28.338579
"241",1047,"SEN",7,-1.733735,5.472322,NA,1145,0.72,0,1,0,4.747396,24.69278
"242",1066,"SLE",2,1.773949,1.479864,1.0750951,1435,0.77,0.25,1,0,5.416667,13.13875
"243",1067,"SLE",3,-0.9935253,0.7066458,0.5774533,1259,0.77,0,1,0,5.416667,14.9893
"244",1068,"SLE",4,1.708994,1.427289,0.3218707,1065,0.77,0,1,0,5.416667,17.5597
"245",1069,"SLE",5,-3.306699,2.0563409,-0.0540466,1074,0.77,0,1,0,5.416667,21.30386
"246",1070,"SLE",6,-0.4612152,2.2669821,-0.1269212,881,0.77,0,1,0,5.416667,27.335979
"247",1071,"SLE",7,-1.037119,2.250262,0.1849616,901,0.77,0,1,0,5.416667,20.281231
"248",1074,"SLV",2,1.306769,0.36283,1.2151999,1810,0.17,0,0,0,2.583333,22.6415
"249",1075,"SLV",3,1.962451,0.2959988,1.103682,1985,0.17,1.25,0,0,2.583333,26.06148
"250",1076,"SLV",4,-6.3899622,0.7715114,0.8461943,2330,0.17,5.5,0,0,2.583333,29.37458
"251",1077,"SLV",5,-1.754105,3.071244,0.8291903,1744,0.17,5,0,0,2.583333,29.769291
"252",1078,"SLV",6,-0.4705314,3.8296549,1.477662,1813,0.17,1.25,0,0,2.583333,34.081421
"253",1079,"SLV",7,3.4979551,2.860043,3.067255,1824,0.17,3.25,0,0,2.583333,28.536791
"254",1082,"SOM",2,1.099986,1.865378,1.251217,921,0.08,0,1,0,3.733333,NA
"255",1083,"SOM",3,3.887933,4.1901131,0.8817285,602,0.08,0,1,0,3.733333,20.31658
"256",1084,"SOM",4,-2.691824,4.690887,0.2928199,921,0.08,0,1,0,3.733333,24.514151
"257",1085,"SOM",5,-1.952669,5.4751878,NA,866,0.08,0,1,0,3.733333,23.572109
"258",1086,"SOM",6,-0.0507204,6.2133098,NA,817,0.08,0,1,0,3.733333,14.68966
"259",1087,"SOM",7,-3.509829,1.327472,NA,NA,0.08,0.25,1,0,3.733333,NA
"260",1130,"SYR",2,1.806416,1.273542,0.8504394,2294,0.22,0,0,0,3.078125,31.916691
"261",1131,"SYR",3,8.7839518,3.166425,0.6029479,3242,0.22,0,0,0,3.078125,37.215069
"262",1132,"SYR",4,4.589139,3.51421,0.7092291,4158,0.22,1.25,0,0,3.078125,39.234089
"263",1133,"SYR",5,-2.0793991,1.834789,NA,4457,0.22,0,0,0,3.078125,45.587391
"264",1134,"SYR",6,-3.8598001,0.8308058,0.6900497,3752,0.22,0,0,0,3.078125,63.151779
"265",1135,"SYR",7,4.342824,0.4928059,1.1787781,3897,0.22,0,0,0,3.078125,60.267349
