"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged","region"
"155","LKA",3,2.936934,0.9759074,0.8198988,1297,0.47,0,0,0,4.325521,24.033701,"Other"
"156","LKA",4,3.9235699,1.340456,2.277447,1497,0.47,0,0,0,4.325521,20.622801,"Other"
"157","LKA",5,3.742027,1.344761,0.9863998,1792,0.47,0.5,0,0,4.325521,30.206881,"Other"
"158","LKA",6,1.189846,1.342893,0.4660164,2048,0.47,1,0,0,4.325521,31.12565,"Other"
"159","LKA",7,4.1670661,1.321839,2.2180929,2096,0.47,1.25,0,0,4.325521,30.5156,"Other"
"160","MAR",2,1.472746,1.043366,1.027375,1342,0.53,0.25,0,0,4.303125,31.536261,"Other"
"161","MAR",3,4.3808799,0.8701968,0.3348713,1433,0.53,0,0,0,4.303125,33.310299,"Other"
"162","MAR",4,1.021592,1.143406,0.4047443,1819,0.53,0,0,0,4.303125,39.066319,"Other"
"163","MAR",5,2.3321049,1.009147,1.67723,1954,0.53,0,0,0,4.303125,42.802589,"Other"
"164","MAR",6,2.1315539,0.5546178,3.026258,2104,0.53,0,0,0,4.303125,44.097271,"Other"
"165","MAR",7,-0.875991,1.024858,3.216192,2151,0.53,0,0,0,4.303125,46.135601,"Other"
"166","MDG",2,-1.18914,1.887127,1.071853,1146,0.06,0,1,0,4.666667,20.673901,"Sub-saharan Africa"
"167","MDG",3,-2.154191,1.774604,1.018873,1014,0.06,0,1,0,4.666667,22.68475,"Sub-saharan Africa"
"168","MDG",4,-2.6535611,1.534978,NA,905,0.06,0,1,0,4.666667,22.803169,"Sub-saharan Africa"
"169","MDG",5,-2.279206,2.086652,NA,821,0.06,0,1,0,4.666667,25.72056,"Sub-saharan Africa"
"170","MDG",6,-0.4948756,3.367147,0.8063396,730,0.06,0,1,0,4.666667,17.67268,"Sub-saharan Africa"
"171","MDG",7,-3.1098101,3.7852759,0.8395147,675,0.06,0.25,1,0,4.666667,16.448931,"Sub-saharan Africa"
"172","MEX",2,3.7077999,0.0231582,1.018433,3987,0.3,0.25,0,0,5.414063,16.702169,"Other"
"173","MEX",3,1.840501,0.0125563,0.7844409,4782,0.3,0,0,0,5.414063,16.20595,"Other"
"174","MEX",4,5.7570438,0.0219669,0.7376471,5208,0.3,0.25,0,0,5.414063,19.175591,"Other"
"175","MEX",5,-2.0507231,0.0302771,-0.0625901,5942,0.3,0.25,0,0,5.414063,30.40843,"Other"
"176","MEX",6,-1.5747679,0.0017184,1.875501,5283,0.3,0.5,0,0,5.414063,28.14155,"Other"
"177","MEX",7,0.7187295,0.0046769,3.1784539,5827,0.3,0.75,0,0,5.414063,20.907749,"Other"
"178","MLI",2,0.1616946,4.6520391,NA,419,0.78,0,1,0,3,20.89879,"Sub-saharan Africa"
"179","MLI",3,5.6834011,5.8279099,NA,432,0.78,0,1,0,3,18.351299,"Sub-saharan Africa"
"180","MLI",4,-0.8450208,5.9985762,NA,511,0.78,0,1,0,3,23.40938,"Sub-saharan Africa"
"181","MLI",5,-6.0195298,5.970542,NA,524,0.78,0,1,0,3,21.177521,"Sub-saharan Africa"
"182","MLI",6,4.6439161,7.6493731,1.944574,550,0.78,0,1,0,3,20.265949,"Sub-saharan Africa"
"183","MLI",7,-1.614059,7.0538211,NA,531,0.78,0,1,0,3,22.697729,"Sub-saharan Africa"
"184","MWI",2,3.082958,2.879252,NA,440,0.62,0,1,0,4.471354,15.58105,"Sub-saharan Africa"
"185","MWI",3,2.478621,2.7039449,NA,487,0.62,0,1,0,4.471354,18.85474,"Sub-saharan Africa"
"186","MWI",4,-1.001543,4.368649,0.3277685,544,0.62,0,1,0,4.471354,22.52606,"Sub-saharan Africa"
"187","MWI",5,-0.4771583,3.4780359,0.6187723,495,0.62,0.25,1,0,4.471354,20.39172,"Sub-saharan Africa"
"188","MWI",6,-1.818031,6.5561471,0.5391272,502,0.62,0,1,0,4.471354,21.270201,"Sub-saharan Africa"
"189","MWI",7,-1.0903569,8.1854677,0.9532723,519,0.62,0,1,0,4.471354,23.02899,"Sub-saharan Africa"
